_id,Nombre del organismo contratante,Titulo,Modalidad,Tipo de contrato,Procedimiento,Criterio adjudicacion,Tramitacion,Valor estimado (Euros),Importe (Euros),Importe licitacion (Euros),Supuesto,Revision precios,Formula revision,Contrato plurianual,Posibilidad de prorroga,Plazo maximo,Codigos CPV,Varios Lotes,Lote,Adjudicatario,Fecha de adjudicacion,Fecha de formalizacion del contrato,Plazo o fecha fin,NIF,Importe adjudicacion (Euros),No de participantes,Clausulas sociales,Clausulas de compra ecologica,Contratacion de I+D,Contratacion de soluciones innovadoras,Importe financiacion (Euros),Reserva en licitacion,Importe Ejecutar (Euros)
1,Agencia Navarra para la Dependencia,"SERVICIO DE INCORPORACIÓN SOCIOLABORAL EN EL AREA DE ATENCIÓN PRIMARIA DE SERVICIOS SOCIALES DE LA COMARCA DE PAMPLONA, AREA NORESTE Y AREA NOROESTE",Contratos,Servicios,Abierto,Oferta más ventajosa,Ordinaria,"1.446.844,46","196.298,72","301.425,96",,N,,,S,4 años,85312300,N,,"PAUMA, S.L.",15/03/2018,28/03/2018,01/04/2018 - 30/11/2018,****5751*,"196.298,72",1,,,,,,N,
2,Agencia Navarra para la Dependencia,Obras para la instalación de la nueva enfriadora en el Caidis La Atalaya,Contratos,Obras,Abierto,Oferta más ventajosa,Ordinaria,"69.551,84","51.200,00","63.228,95",,N,,,N,,45331230,N,,"HUMICLIMA NORTE, S.A.",02/02/2018,15/03/2018,40 días,****7814*,"51.200,00",4,,,,,,N,
3,Agencia Navarra para la Dependencia,Acuerdo Marco suministro de celulosas higiénicas para los centros dependientes de la Agencia Navarra de Autonomía y Desarrollo de las Personas,Acuerdo marco,Suministro,Abierto,Oferta más ventajosa,Anticipada,"138.606,20",0,"34.651,55",,N,,,S,4 años,33700000,N,,"LEYDET, S.L.",26/03/2018,,4 años,****0744*,"18.820,24",7,,,,,,N,
4,,,,,,,,,,,,,,,,,,,,"SETLAND, S.L.",26/03/2018,,4 años,****3455*,"21.365,63",,,,,,,,
5,Agencia Navarra para la Dependencia,Servicio de limpieza de varios locales del Departamento de Derechos Sociales,Contratos,Servicios,Abierto,Precio más bajo,Ordinaria,"428.993,28","72.066,08","80.436,24",,N,,,S,4 años,90911200,S,"Lote 1 Limpieza de los locales de Alhóndiga, 1, 1ª Planta: 90911200","QUOSEC CALIDAD Y SERVICIOS, S.L.",13/03/2018,,01/04/2018 - 31/12/2018,****3803*,"13.595,55",7,,,,,,N,
6,,,,,,,,,,,,,,,,,,,"Lote 2 Limpieza del local de González Tablas, 7: 90911200","BROCOLI, S.L.",13/03/2018,,01/04/2018 - 31/12/2018,****7865*,"51.535,98",,,,,,,,
7,,,,,,,,,,,,,,,,,,,"Lote 3 Limpieza local de Gayarre, 8 de Tudela: 90911200","QUOSEC CALIDAD Y SERVICIOS, S.L.",13/03/2018,,01/04/2018 - 31/12/2018,****3803*,"6.934,55",,,,,,,,
8,Agencia Navarra para la Dependencia,ACUERDO MARCO DEL SUMINISTRO DE PRODUCTOS DE LIMPIEZA Y ASEO PARA LOS CENTROS DEPENDIENTES DE LA AGENCIA NAVARRA DE AUTONOMIA Y DESARROLLO DE LAS PERSONAS,Acuerdo marco,Suministro,Abierto,Oferta más ventajosa,Ordinaria,"710.854,40",0,"177.713,60",,N,,,S,48 meses,33700000,S,PRODUCTOS DE LIMPIEZA: 39800000,"Eurovermon, S.L.",26/03/2018,,16/04/2018 - 15/04/2019,****7886*,,12,,,,,,N,
9,,,,,,,,,,,,,,,,,,,DESINFECTANTES Y TRATAMIENTO DE SUELOS: 39800000,"Eurovermon, S.L.",26/03/2018,,16/04/2018 - 15/04/2019,****7886*,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,DESINFECTANTES Y TRATAMIENTO DE SUELOS: 39800000,"Sernatec, S.L.",26/03/2018,,16/04/2018 - 15/04/2019,****0917*,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,QUÍMICOS VARIOS: 39800000,"Eurovermon, S.L.",26/03/2018,,16/04/2018 - 15/04/2019,****7886*,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,QUÍMICOS VARIOS: 39800000,"Sernatec, S.L.",26/03/2018,,16/04/2018 - 15/04/2019,****0917*,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,QUÍMICOS VARIOS: 39800000,"SETLAND, S.L.",26/03/2018,,16/04/2018 - 15/04/2019,****3455*,,,,,,,,,
