_id,Nombre del organismo contratante,Titulo,Modalidad,Tipo de contrato,Procedimiento,Criterio adjudicacion,Tramitacion,Valor estimado (Euros),Importe (Euros),Importe licitacion (Euros),Supuesto,Revision precios,Formula revision,Contrato plurianual,Posibilidad de prorroga,Plazo maximo,Codigos CPV,Varios Lotes,Lote,Adjudicatario,Fecha de adjudicacion,Fecha de formalizacion del contrato,Plazo o fecha fin,NIF,Importe adjudicacion (Euros),No de participantes,Clausulas sociales,Clausulas de compra ecologica,Contratacion de I+D,Contratacion de soluciones innovadoras,Importe financiacion (Euros),Reserva en licitacion,Importe Ejecutar (Euros)
1,Agencia Navarra para la Dependencia,Servicio de gestión de 20 plazas mixtas de protección en recursos habitacionales a menores extranjeros no acompañados y 5 plazas mixtas de valoración y acogida para menores extranjeros no acompañados,Contratos,Servicios,Abierto,Mejor relación calidad-precio,Ordinaria,"6.646.689,00","949.527,00","949.527,00",,N,,,S,5 años,85311000,N,,ZAKAN UNIÓN TEMPORAL DE EMPRESAS UTE,13/03/2019,13/03/2019,01/04/2019 - 30/04/2024,****7064*,"949.527,00",4,N,N,N,N,,N,
2,Agencia Navarra para la Dependencia,Concierto social para la gestión de 152 plazas mixtas para menores en situación de dificultad social,Conciertos sociales,Servicios,Abierto,Oferta más ventajosa,,"21.916.456,51","21.916.456,51","21.916.456,51",,N,,S,S,3 años,85310000,S,"Gestión de 64 plazas mixtas de Acogimiento Residencial Básico (ARB), 5 plazas mixtas de Acogimiento Residencial Especializado (ARE) y 10 plazas mixtas para el programa de seguimiento a menores en proceso de autonomía: 85310000",ASOCIACIÓN NAVARRA NUEVO FUTURO,07/03/2019,,3 años,****058274,"12.180.069,37",,,,,,,N,
3,,,,,,,,,,,,,,,,,,,"Gestión de 64 plazas mixtas de Acogimiento Residencial Básico (ARB), 5 plazas mixtas de Acogimiento Residencial Especializado (ARE) y 10 plazas mixtas para el programa de seguimiento a menores en proceso de autonomía: 85310000",FUNDACIÓN XILEMA,07/03/2019,,3 años,****068647,"9.736.387,14",,,,,,,,
4,Agencia Navarra para la Dependencia,Contrato de obras para la climatización de las áreas Urbasa y Andia en CAIDIS Oncineda,Contratos,Obras,Procedimiento simplificado,Mejor relación calidad-precio,Ordinaria,"161.230,84","112.160,58","140.200,73",,N,,,N,,42512000,N,,Servicios Navarra de Mantenimiento S.L.,31/05/2019,31/05/2019,65 días,****3944*,"112.160,58",5,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,N,
5,Agencia Navarra para la Dependencia,Acuerdo Marco para el suministro de productos perecederos a los centros dependientes de la Agencia Navarra de Autonomía y Desarrollo de las Personas,Acuerdo marco,Suministro,Abierto,Mejor relación calidad-precio,Ordinaria,"277.243,41",0,"277.243,41",,N,,,N,,15100000,S,Lote 1 Carnes: 15100000,Hermanos Valencia Gil S.L.,01/06/2019,01/06/2019,01/06/2019 - 01/06/2019,****2305*,,5,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,N,
6,,,,,,,,,,,,,,,,,,,Lote 2 Aves: 15100000,Hermanos Valencia Gil S.L.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****2305*,,,"Lote 1: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
7,,,,,,,,,,,,,,,,,,,Lote 2 Aves: 15100000,Matadero José Calatayud e Hijos S.A.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****5732*,,,"Lote 2: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
8,,,,,,,,,,,,,,,,,,,Lote 3 Pescados Abrl: 15200000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,"Lote 3: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
9,,,,,,,,,,,,,,,,,,,Lote 4 Pescados Mayo Junio: 15200000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,"Lote 4: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
10,,,,,,,,,,,,,,,,,,,Lote 5 Pescados julio Agosto: 15200000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,"Lote 5: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
